Spancish,English
que,what
de,of
no,no
a,to
la,the
el,the
es,is
y,and
en,in
lo,the
un,one
por,by
qué,what
me,me
una,one
te,tea
los,the
se,herself
con,with
para,for
mi,my
está,is
si,yes
bien,not bad
pero,but
yo,I
eso,that
las,the
sí,yes
su,his
tu,your
aquí,here
del,of the
al,to the
como,how
le,him
más,more
esto,this
ya,already
todo,all
esta,this
vamos,let's go
muy,very
hay,there's
ahora,now
algo,something
estoy,am
tengo,Have
nos,us
tú,you
nada,nothing
cuando,when
ha,has
este,this
sé,Know
estás,are
así,like this
puedo,I can
cómo,how
quiero,I want to
sólo,only
soy,am
tiene,Has
gracias,thank you
o,or
él,he
bueno,well
fue,Was
ser,be
hacer,do
son,are
todos,all
era,era
eres,you are
vez,time
tienes,Have
creo,I think
ella,she
he,I
ese,that
voy,I 'm going
puede,can
sabes,you know
hola,hello
sus,their
porque,because
dios,god
quién,who
nunca,never
dónde,where
quieres,do you want
casa,house
favor,favor
esa,that
dos,two
tan,so
señor,lord
tiempo,time
verdad,truth
estaba,Was
